Age,Gender,Occupation,ScreenTime,SocialMedia,Gaming,Streaming,WorkEducation,Unlocks,AppSwitching,Notifications,LateNightUsage,SleepHours,MoodScore,PhysicalActivity,HeartRate,AddictionLevel,TouchFrequency,SessionInterval,NightUsageRatio,EngagementScore,BehaviorText
0.7307692307692308,0.5,1.0,0.7751196172248804,0.9090909090909092,0.35,0.9555555555555556,0.8375,0.6244541484716157,0.0555555555555555,0.0601092896174863,0.325,0.1999999999999999,0.7777777777777777,0.5666666666666667,0.2941176470588234,0,0.6244541484716157,0.1007840036466734,0.0726470588235294,0.7709923664122137,"User shows high screen time, low app switching, controlled night usage, poor sleep pattern, heavy social media engagement, stable mood pattern."
0.9807692307692308,0.0,0.0,0.4497607655502392,0.2545454545454545,0.5,0.2222222222222222,0.625,0.960698689956332,0.1666666666666666,0.9963570127504556,0.3,0.6199999999999999,0.7777777777777777,1.0,0.7058823529411766,0,0.960698689956332,0.0337185176496711,0.1016042780748663,0.2900763358778626,"User shows moderate screen time, low app switching, controlled night usage, healthy sleep pattern, stable mood pattern."
0.5384615384615385,0.5,1.0,0.2248803827751196,0.1090909090909091,0.525,0.0666666666666666,0.2,0.6244541484716157,0.462962962962963,0.5136612021857924,0.95,0.8200000000000001,0.6666666666666665,0.5333333333333333,0.6764705882352939,2,0.6244541484716157,0.0286902970138707,0.4996539792387543,0.183206106870229,"User shows low screen time, moderate app switching, high late night usage, healthy sleep pattern, stable mood pattern."
0.2692307692307692,0.5,1.0,0.7081339712918662,0.4363636363636363,1.0,0.5555555555555556,0.775,0.6986899563318777,0.037037037037037,0.7231329690346084,0.575,0.6599999999999999,0.8888888888888888,0.7,0.6470588235294117,0,0.6986899563318778,0.0816444493419476,0.1382036685641998,0.633587786259542,"User shows high screen time, low app switching, controlled night usage, healthy sleep pattern, high gaming activity, stable mood pattern."
0.8076923076923077,0.5,0.6666666666666666,0.4210526315789474,0.6181818181818182,0.225,0.2666666666666666,0.4,0.1659388646288209,0.9074074074074074,0.4389799635701275,0.2,0.4000000000000001,0.6666666666666665,0.6333333333333333,0.4117647058823528,2,0.165938864628821,0.1838113026339572,0.0709617180205415,0.3740458015267175,"User shows moderate screen time, frequent app switching, controlled night usage, healthy sleep pattern, heavy social media engagement, stable mood pattern."
0.1346153846153846,0.0,1.0,0.4688995215311004,0.2363636363636363,0.675,0.9555555555555556,0.2875,0.1965065502183406,0.962962962962963,0.2367941712204007,0.25,0.9800000000000002,1.0,0.8666666666666667,0.5588235294117645,2,0.1965065502183406,0.177949915726369,0.0821799307958477,0.5877862595419848,"User shows moderate screen time, frequent app switching, controlled night usage, healthy sleep pattern, high gaming activity, stable mood pattern."
0.3846153846153846,1.0,1.0,0.6028708133971292,0.5636363636363636,0.15,0.5777777777777777,0.875,0.7205240174672489,0.7777777777777778,0.2367941712204007,0.025,0.0,0.2222222222222222,0.5,0.323529411764706,0,0.7205240174672489,0.0667964890283853,0.0068149210903873,0.4351145038167939,"User shows moderate screen time, frequent app switching, controlled night usage, poor sleep pattern, possible emotional imbalance."
0.7307692307692308,0.0,0.6666666666666666,0.894736842105263,0.8,0.925,0.9555555555555556,0.8625,0.6550218340611353,0.2962962962962963,0.3406193078324225,0.325,0.3,0.0,0.1666666666666666,0.5588235294117645,0,0.6550218340611355,0.1109390795364707,0.0645751633986928,0.900763358778626,"User shows high screen time, low app switching, controlled night usage, poor sleep pattern, heavy social media engagement, high gaming activity, possible emotional imbalance."
0.3461538461538462,1.0,0.0,0.6267942583732058,0.2545454545454545,0.6,0.7777777777777777,0.8625,0.1091703056768558,0.8888888888888888,0.7668488160291439,0.625,0.9600000000000002,0.2222222222222222,0.2333333333333333,0.5294117647058822,2,0.1091703056768559,0.3370442112433215,0.1653324051514096,0.5114503816793894,"User shows moderate screen time, frequent app switching, high late night usage, healthy sleep pattern, possible emotional imbalance."
0.4230769230769231,0.5,0.0,0.799043062200957,0.5818181818181818,0.85,0.7333333333333332,0.8625,0.2096069868995633,0.4814814814814815,0.8797814207650274,0.3,0.3800000000000001,0.1111111111111111,0.3666666666666667,0.7352941176470589,0,0.2096069868995633,0.272228016773452,0.0654232424677187,0.7099236641221374,"User shows high screen time, moderate app switching, controlled night usage, poor sleep pattern, high gaming activity, possible emotional imbalance."
0.1923076923076923,1.0,0.0,0.6267942583732058,0.3454545454545454,0.9,0.8222222222222222,0.55,0.3493449781659388,0.3888888888888888,0.2258652094717668,0.225,0.6199999999999999,0.5555555555555556,0.1999999999999999,0.2058823529411766,0,0.3493449781659389,0.1435250509022464,0.0595196658545074,0.6564885496183206,"User shows moderate screen time, low app switching, controlled night usage, healthy sleep pattern, high gaming activity, stable mood pattern."
0.1923076923076923,0.5,1.0,0.5837320574162679,0.5272727272727272,0.55,0.6000000000000001,0.6125,0.4410480349344978,0.7962962962962963,0.2076502732240437,0.05,0.24,0.4444444444444445,0.7999999999999999,0.5882352941176472,0,0.4410480349344978,0.1080807294783612,0.0139705882352941,0.5496183206106872,"User shows moderate screen time, frequent app switching, controlled night usage, poor sleep pattern, stable mood pattern."
0.4423076923076923,0.5,0.6666666666666666,0.6555023923444976,0.6727272727272727,0.675,0.0222222222222222,0.95,0.4716157205240174,0.6481481481481481,0.8415300546448088,0.85,0.7,1.0,0.3666666666666667,0.5882352941176472,0,0.4716157205240174,0.1131762484672765,0.2171428571428571,0.450381679389313,"User shows moderate screen time, moderate app switching, high late night usage, healthy sleep pattern, heavy social media engagement, high gaming activity, stable mood pattern."
